array_type,time,element_size
SQ, 0.024905, 1000000
HAT, 0.026021, 1000000
MSarray_2, 0.028029, 1000000
MSarray_3, 0.030416, 1000000
MSarray_4, 0.032032, 1000000
geo, 0.024681, 1000000
base, 0.000007, 100
mono, 0.000011, 100
sliced, 0.000015, 100
SQ, 0.000015, 100
HAT, 0.000019, 100
MSarray_2, 0.000017, 100
MSarray_3, 0.000015, 100
MSarray_4, 0.000013, 100
geo, 0.000005, 100
base, 0.000004, 200
mono, 0.000014, 200
sliced, 0.000015, 200
SQ, 0.000019, 200
HAT, 0.000018, 200
MSarray_2, 0.000027, 200
MSarray_3, 0.000016, 200
MSarray_4, 0.000023, 200
geo, 0.000014, 200
base, 0.000011, 400
mono, 0.000014, 400
sliced, 0.000026, 400
SQ, 0.000029, 400
HAT, 0.000034, 400
MSarray_2, 0.000034, 400
MSarray_3, 0.000033, 400
MSarray_4, 0.000034, 400
geo, 0.000016, 400
base, 0.000004, 1000
mono, 0.000041, 1000
sliced, 0.000044, 1000
SQ, 0.000047, 1000
HAT, 0.000055, 1000
MSarray_2, 0.000063, 1000
MSarray_3, 0.000060, 1000
MSarray_4, 0.000075, 1000
geo, 0.000037, 1000
base, 0.000010, 2000
mono, 0.000070, 2000
sliced, 0.000082, 2000
SQ, 0.000090, 2000
HAT, 0.000098, 2000
MSarray_2, 0.000121, 2000
MSarray_3, 0.000096, 2000
MSarray_4, 0.000160, 2000
geo, 0.000063, 2000
base, 0.000006, 4000
mono, 0.000130, 4000
sliced, 0.000149, 4000
SQ, 0.000172, 4000
HAT, 0.000168, 4000
MSarray_2, 0.000191, 4000
MSarray_3, 0.000227, 4000
MSarray_4, 0.000221, 4000
geo, 0.000154, 4000
base, 0.000007, 10000
mono, 0.000308, 10000
sliced, 0.000363, 10000
SQ, 0.000293, 10000
HAT, 0.000396, 10000
MSarray_2, 0.000459, 10000
MSarray_3, 0.000537, 10000
MSarray_4, 0.000326, 10000
geo, 0.000322, 10000
base, 0.000006, 20000
mono, 0.000756, 20000
sliced, 0.000832, 20000
SQ, 0.000531, 20000
HAT, 0.000778, 20000
MSarray_2, 0.000946, 20000
MSarray_3, 0.001153, 20000
MSarray_4, 0.001148, 20000
geo, 0.000594, 20000
base, 0.000009, 40000
mono, 0.001160, 40000
sliced, 0.001142, 40000
