array_type,time,element_size,checksum
MSarray_2, 0.114558, 528, 549770476255
MSarray_3, 0.132403, 528, 549770476255
MSarray_4, 0.187342, 528, 549770476255
geo, 0.004962, 544, 549770476255
mono, 0.004597, 544, 549770476255
sliced, 0.011529, 544, 549770476255
SQ, 0.006694, 544, 549770476255
HAT, 0.051536, 544, 549770476255
MSarray_2, 0.117237, 544, 549770476255
MSarray_3, 0.112279, 544, 549770476255
MSarray_4, 0.187607, 544, 549770476255
geo, 0.006759, 560, 549770476255
mono, 0.004438, 560, 549770476255
sliced, 0.010563, 560, 549770476255
SQ, 0.006382, 560, 549770476255
HAT, 0.050460, 560, 549770476255
MSarray_2, 0.120340, 560, 549770476255
MSarray_3, 0.103660, 560, 549770476255
MSarray_4, 0.190525, 560, 549770476255
geo, 0.004112, 576, 549770476255
mono, 0.006878, 576, 549770476255
sliced, 0.011971, 576, 549770476255
SQ, 0.005979, 576, 549770476255
HAT, 0.047419, 576, 549770476255
MSarray_2, 0.123274, 576, 549770476255
MSarray_3, 0.110874, 576, 549770476255
MSarray_4, 0.226062, 576, 549770476255
geo, 0.004127, 592, 549770476255
mono, 0.003637, 592, 549770476255
sliced, 0.011140, 592, 549770476255
SQ, 0.004993, 592, 549770476255
HAT, 0.055406, 592, 549770476255
MSarray_2, 0.190537, 592, 549770476255
MSarray_3, 0.129092, 592, 549770476255
MSarray_4, 0.215178, 592, 549770476255
geo, 0.005989, 608, 549770476255
mono, 0.002470, 608, 549770476255
sliced, 0.010248, 608, 549770476255
SQ, 0.005488, 608, 549770476255
HAT, 0.031641, 608, 549770476255
MSarray_2, 0.151782, 608, 549770476255
MSarray_3, 0.119782, 608, 549770476255
MSarray_4, 0.257264, 608, 549770476255
geo, 0.002930, 624, 549770476255
mono, 0.006643, 624, 549770476255
sliced, 0.005828, 624, 549770476255
SQ, 0.004405, 624, 549770476255
HAT, 0.046213, 624, 549770476255
MSarray_2, 0.167191, 624, 549770476255
MSarray_3, 0.100109, 624, 549770476255
MSarray_4, 0.221335, 624, 549770476255
geo, 0.005319, 640, 549770476255
mono, 0.006638, 640, 549770476255
sliced, 0.008150, 640, 549770476255
SQ, 0.004298, 640, 549770476255
HAT, 0.030569, 640, 549770476255
MSarray_2, 0.146011, 640, 549770476255
MSarray_3, 0.095326, 640, 549770476255
MSarray_4, 0.227678, 640, 549770476255
geo, 0.006804, 656, 549770476255
mono, 0.004327, 656, 549770476255
sliced, 0.012565, 656, 549770476255
SQ, 0.007526, 656, 549770476255
HAT, 0.053730, 656, 549770476255
MSarray_2, 0.144922, 656, 549770476255
MSarray_3, 0.122732, 656, 549770476255
MSarray_4, 0.236640, 656, 549770476255
geo, 0.002948, 672, 549770476255
mono, 0.006623, 672, 549770476255
sliced, 0.011936, 672, 549770476255
SQ, 0.006304, 672, 549770476255
HAT, 0.060414, 672, 549770476255
MSarray_2, 0.157940, 672, 549770476255
MSarray_3, 0.140757, 672, 549770476255
MSarray_4, 0.253660, 672, 549770476255
geo, 0.003217, 688, 549770476255
mono, 0.002447, 688, 549770476255
sliced, 0.011552, 688, 549770476255
SQ, 0.007324, 688, 549770476255
HAT, 0.056449, 688, 549770476255
MSarray_2, 0.160713, 688, 549770476255
MSarray_3, 0.123404, 688, 549770476255
MSarray_4, 0.297006, 688, 549770476255
geo, 0.004774, 704, 549770476255
mono, 0.003604, 704, 549770476255
sliced, 0.005580, 704, 549770476255
SQ, 0.002819, 704, 549770476255
HAT, 0.039101, 704, 549770476255
MSarray_2, 0.139822, 704, 549770476255
MSarray_3, 0.104045, 704, 549770476255
MSarray_4, 0.290836, 704, 549770476255
geo, 0.006675, 720, 549770476255
mono, 0.005856, 720, 549770476255
sliced, 0.010996, 720, 549770476255
SQ, 0.008249, 720, 549770476255
HAT, 0.057798, 720, 549770476255
MSarray_2, 0.145669, 720, 549770476255
MSarray_3, 0.124984, 720, 549770476255
MSarray_4, 0.241204, 720, 549770476255
geo, 0.005320, 736, 549770476255
mono, 0.003725, 736, 549770476255
sliced, 0.011280, 736, 549770476255
SQ, 0.006449, 736, 549770476255
HAT, 0.033965, 736, 549770476255
MSarray_2, 0.177810, 736, 549770476255
MSarray_3, 0.114058, 736, 549770476255
MSarray_4, 0.276059, 736, 549770476255
geo, 0.006698, 752, 549770476255
