array_type,time,element_size
MSarray_3, 0.029956, 864
MSarray_4, 0.044745, 864
base, 0.018042, 880
mono, 0.015668, 880
sliced, 0.017052, 880
SQ, 0.020244, 880
HAT, 0.017370, 880
MSarray_2, 0.013949, 880
MSarray_3, 0.030650, 880
MSarray_4, 0.044273, 880
base, 0.017086, 896
mono, 0.016028, 896
sliced, 0.017276, 896
SQ, 0.020556, 896
HAT, 0.019863, 896
MSarray_2, 0.013953, 896
MSarray_3, 0.032406, 896
MSarray_4, 0.049239, 896
base, 0.014816, 912
mono, 0.015957, 912
sliced, 0.017963, 912
SQ, 0.020560, 912
HAT, 0.017948, 912
MSarray_2, 0.013777, 912
MSarray_3, 0.030574, 912
MSarray_4, 0.048599, 912
base, 0.013126, 928
mono, 0.016027, 928
sliced, 0.017863, 928
SQ, 0.020623, 928
HAT, 0.018394, 928
MSarray_2, 0.013607, 928
MSarray_3, 0.031752, 928
MSarray_4, 0.051869, 928
base, 0.015846, 944
mono, 0.016933, 944
sliced, 0.018581, 944
SQ, 0.021037, 944
HAT, 0.018844, 944
MSarray_2, 0.016075, 944
MSarray_3, 0.032085, 944
MSarray_4, 0.054727, 944
base, 0.016071, 960
mono, 0.017265, 960
sliced, 0.019060, 960
SQ, 0.021037, 960
HAT, 0.019190, 960
MSarray_2, 0.013646, 960
MSarray_3, 0.032504, 960
MSarray_4, 0.054299, 960
base, 0.015863, 976
mono, 0.017696, 976
sliced, 0.019162, 976
SQ, 0.021389, 976
HAT, 0.019647, 976
MSarray_2, 0.013885, 976
MSarray_3, 0.034732, 976
MSarray_4, 0.054998, 976
base, 0.016111, 992
mono, 0.017377, 992
sliced, 0.018976, 992
SQ, 0.021126, 992
HAT, 0.019381, 992
MSarray_2, 0.013683, 992
MSarray_3, 0.033840, 992
MSarray_4, 0.060423, 992
base, 0.016953, 1008
mono, 0.021225, 1008
sliced, 0.023025, 1008
SQ, 0.023023, 1008
HAT, 0.023811, 1008
MSarray_2, 0.017738, 1008
MSarray_3, 0.041817, 1008
MSarray_4, 0.058317, 1008
base, 0.017020, 1024
mono, 0.016699, 1024
sliced, 0.017063, 1024
SQ, 0.017638, 1024
HAT, 0.021787, 1024
MSarray_2, 0.010443, 1024
MSarray_3, 0.028475, 1024
MSarray_4, 0.046040, 1024
base, 0.017129, 1040
mono, 0.018958, 1040
sliced, 0.021221, 1040
SQ, 0.022317, 1040
HAT, 0.020922, 1040
MSarray_2, 0.014938, 1040
MSarray_3, 0.034431, 1040
MSarray_4, 0.054125, 1040
base, 0.017438, 1056
mono, 0.018139, 1056
sliced, 0.018932, 1056
SQ, 0.021645, 1056
HAT, 0.021857, 1056
MSarray_2, 0.013902, 1056
MSarray_3, 0.035340, 1056
MSarray_4, 0.065782, 1056
base, 0.018677, 1072
mono, 0.019165, 1072
sliced, 0.021907, 1072
SQ, 0.024157, 1072
HAT, 0.022447, 1072
MSarray_2, 0.013859, 1072
MSarray_3, 0.036072, 1072
MSarray_4, 0.068265, 1072
base, 0.018847, 1088
mono, 0.020409, 1088
sliced, 0.022372, 1088
SQ, 0.024752, 1088
HAT, 0.022852, 1088
MSarray_2, 0.014081, 1088
MSarray_3, 0.038899, 1088
MSarray_4, 0.070622, 1088
base, 0.021800, 1104
mono, 0.024423, 1104
sliced, 0.025149, 1104
SQ, 0.026692, 1104
HAT, 0.025057, 1104
MSarray_2, 0.013794, 1104
MSarray_3, 0.039318, 1104
MSarray_4, 0.073220, 1104
base, 0.021679, 1120
mono, 0.023039, 1120
sliced, 0.025202, 1120
SQ, 0.027360, 1120
HAT, 0.026009, 1120
MSarray_2, 0.013769, 1120
MSarray_3, 0.039583, 1120
MSarray_4, 0.054993, 1120
base, 0.022431, 1136
mono, 0.023739, 1136
sliced, 0.025551, 1136
SQ, 0.027454, 1136
HAT, 0.025500, 1136
MSarray_2, 0.013730, 1136
MSarray_3, 0.039603, 1136
MSarray_4, 0.070460, 1136
base, 0.019936, 1152
mono, 0.021158, 1152
sliced, 0.022896, 1152
SQ, 0.025020, 1152
HAT, 0.023439, 1152
MSarray_2, 0.013673, 1152
MSarray_3, 0.037649, 1152
MSarray_4, 0.064621, 1152
base, 0.021612, 1168
mono, 0.022129, 1168
sliced, 0.023724, 1168
SQ, 0.025722, 1168
HAT, 0.025377, 1168
MSarray_2, 0.013809, 1168
MSarray_3, 0.036998, 1168
MSarray_4, 0.064216, 1168
base, 0.022104, 1184
mono, 0.021831, 1184
sliced, 0.023730, 1184
SQ, 0.025703, 1184
HAT, 0.024221, 1184
MSarray_2, 0.013567, 1184
MSarray_3, 0.037366, 1184
MSarray_4, 0.067131, 1184
base, 0.021226, 1200
mono, 0.022415, 1200
sliced, 0.024272, 1200
SQ, 0.030927, 1200
HAT, 0.024449, 1200
MSarray_2, 0.014102, 1200
MSarray_3, 0.038121, 1200
MSarray_4, 0.069160, 1200
base, 0.020978, 1216
mono, 0.022098, 1216
sliced, 0.024128, 1216
SQ, 0.025664, 1216
HAT, 0.024058, 1216
MSarray_2, 0.013755, 1216
MSarray_3, 0.037800, 1216
MSarray_4, 0.068876, 1216
base, 0.024139, 1232
mono, 0.021446, 1232
sliced, 0.023774, 1232
SQ, 0.026377, 1232
HAT, 0.024238, 1232
MSarray_2, 0.013892, 1232
MSarray_3, 0.038963, 1232
MSarray_4, 0.058949, 1232
base, 0.026314, 1248
mono, 0.031491, 1248
sliced, 0.029633, 1248
