array_type,time,element_size
mono, 0.064141, 1120
sliced, 0.064875, 1120
SQ, 0.065708, 1120
HAT, 0.066749, 1120
MSarray_2, 0.054458, 1120
MSarray_3, 0.088921, 1120
MSarray_4, 0.117049, 1120
base, 0.065526, 1136
mono, 0.065621, 1136
sliced, 0.067002, 1136
SQ, 0.067741, 1136
HAT, 0.069286, 1136
MSarray_2, 0.056770, 1136
MSarray_3, 0.090030, 1136
MSarray_4, 0.119096, 1136
base, 0.066349, 1152
mono, 0.066195, 1152
sliced, 0.067451, 1152
SQ, 0.067469, 1152
HAT, 0.069475, 1152
MSarray_2, 0.054503, 1152
MSarray_3, 0.091694, 1152
MSarray_4, 0.115527, 1152
base, 0.067047, 1168
mono, 0.068082, 1168
sliced, 0.068772, 1168
SQ, 0.070299, 1168
HAT, 0.071341, 1168
MSarray_2, 0.057602, 1168
MSarray_3, 0.093432, 1168
MSarray_4, 0.123294, 1168
base, 0.068690, 1184
mono, 0.069257, 1184
sliced, 0.070824, 1184
SQ, 0.070729, 1184
HAT, 0.071025, 1184
MSarray_2, 0.055860, 1184
MSarray_3, 0.096547, 1184
MSarray_4, 0.119459, 1184
base, 0.069645, 1200
mono, 0.070365, 1200
sliced, 0.072031, 1200
SQ, 0.073170, 1200
HAT, 0.073875, 1200
MSarray_2, 0.060100, 1200
MSarray_3, 0.096227, 1200
MSarray_4, 0.128900, 1200
base, 0.070741, 1216
mono, 0.071303, 1216
sliced, 0.073454, 1216
SQ, 0.072969, 1216
HAT, 0.074474, 1216
MSarray_2, 0.057732, 1216
MSarray_3, 0.097088, 1216
MSarray_4, 0.136767, 1216
base, 0.072293, 1232
mono, 0.073324, 1232
sliced, 0.076367, 1232
SQ, 0.075209, 1232
HAT, 0.076082, 1232
MSarray_2, 0.060598, 1232
MSarray_3, 0.100637, 1232
MSarray_4, 0.135452, 1232
base, 0.072641, 1248
mono, 0.073662, 1248
sliced, 0.075444, 1248
SQ, 0.074966, 1248
